location,price,area,bedroom
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.9 Cr₹ 10,741/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in NH-24 Highway,"₹ 32.43  - 66.83 Lac₹ 2,820/sq.ft.","1,150-2,370 sq.ft. (107-220 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in NH-24 Highway,"₹ 32.43  - 66.83 Lac₹ 2,820/sq.ft.","1,150-2,370 sq.ft. (107-220 sq.m.) Super built-up Area",3 BHK
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4 Cr₹ 8,849/sq.ft.","4,520 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Yamuna Expressway,"₹ 39.15 Lac₹ 2,900/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",3 BHK2 Baths
Residential land / Plot in Sohna Road,"₹ 10  - 99.99 Lac₹ 2,222/sq.ft.","450-4,500 sq.ft. (42-418 sq.m.) Plot Area",
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4 Cr₹ 11,056/sq.ft.","3,618 sq.ft. (336 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Karol Bagh,"₹ 4.4  - 6.36 Cr₹ 28,298/sq.ft.","1,579-2,213 sq.ft. (147-206 sq.m.) Carpet Area",4 BHK4 Baths
2 BHK Residential Apartment in Karol Bagh,"₹ 1.95 Cr₹ 15,575/sq.ft.","1,252 sq.ft. (116 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Sector-51 Gurgaon,"₹ 1.71  - 2.23 Cr₹ 8,193/sq.ft.","2,089-2,726 sq.ft. (194-253 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3 Cr₹ 8,291/sq.ft.","3,618 sq.ft. (336 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 2.09 Cr₹ 6,500/sq.ft.","3,220 sq.ft. (299 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Residential Apartment in Sector-128 Noida,"₹ 8.66  - 10.22 Cr₹ 16,345/sq.ft.","5,300-6,250 sq.ft. (492-581 sq.m.) Super built-up Area",5 BHK
3 BHK Residential Apartment in Sector-128 Noida,"₹ 4.41  - 4.66 Cr₹ 16,345/sq.ft.","2,700-2,850 sq.ft. (251-265 sq.m.) Super built-up Area",3 BHK5 Baths
5 BHK Residential Apartment in Sector-150 Noida,"₹ 2.56 Cr₹ 9,249/sq.ft.","2,768 sq.ft. (257 sq.m.) Carpet Area",5 BHK5 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 1.52 Cr₹ 9,249/sq.ft.","1,640 sq.ft. (152 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-108 Noida,"₹ 3  - 3.66 Cr₹ 7,500/sq.ft.","3,995-4,874 sq.ft. (371-453 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-108 Noida,"₹ 2.48  - 2.48 Cr₹ 7,500/sq.ft.","3,302-3,312 sq.ft. (307-308 sq.m.) Super built-up Area",3 BHK4 Baths
5 BHK Residential Apartment in Sector-108 Noida,"₹ 4.44  - 5.04 Cr₹ 8,500/sq.ft.","5,220-5,930 sq.ft. (485-551 sq.m.) Super built-up Area",5 BHK5 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 92.23 Lac - 1.23 Cr₹ 5,699/sq.ft.","1,618-2,163 sq.ft. (150-201 sq.m.) Carpet Area",4 BHK5 Baths
5 BHK Residential Apartment in Sector-69 Gurgaon,"₹ 1.55 Cr₹ 5,250/sq.ft.","2,946 sq.ft. (274 sq.m.) Super built-up Area",5 BHK5 Baths
5 Bedroom Independent House in Sector-109 Gurgaon,"₹ 5.04  - 7.33 Cr₹ 10,000/sq.ft.","5,036-7,330 sq.ft. (468-681 sq.m.) Built-up Area",5 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 3.55 Cr₹ 11,269/sq.ft.","3,150 sq.ft. (293 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in Sushant Lok Phase - 1,"₹ 2.4 Cr₹ 8,888/sq.ft.","2,700 sq.ft. (251 sq.m.) Built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-69 Gurgaon,"₹ 1.45  - 2.5 Cr₹ 7,564/sq.ft.","2,010-3,156 sq.ft. (187-293 sq.m.) Super built-up Area",4 BHK
2 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 89 Lac₹ 6,425/sq.ft.","1,385 sq.ft. (129 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.07 Cr₹ 7,007/sq.ft.","1,527 sq.ft. (142 sq.m.) Super built-up Area",2 BHK
4 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.66 Cr₹ 7,494/sq.ft.","2,215 sq.ft. (206 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.66 Cr₹ 7,494/sq.ft.","2,215 sq.ft. (206 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.19  - 1.38 Cr₹ 7,029/sq.ft.","1,693-1,967 sq.ft. (157-183 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-143B Noida,"₹ 1.06 Cr₹ 5,500/sq.ft.","1,920 sq.ft. (178 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-143B Noida,"₹ 69.03  - 81.4 Lac₹ 5,500/sq.ft.","1,255-1,480 sq.ft. (117-138 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-143B Noida,"₹ 63.25 Lac₹ 5,500/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",2 BHK3 Baths
6 BHK Residential Apartment in Sector-124 Noida,"₹ 15  - 15.75 Cr₹ 15,000/sq.ft.","10,000-10,500 sq.ft. (929-975 sq.m.) Super built-up Area",6 BHK
4 BHK Residential Apartment in Sector-124 Noida,"₹ 9  - 9.07 Cr₹ 15,000/sq.ft.","6,000-6,050 sq.ft. (557-562 sq.m.) Super built-up Area",4 BHK
2 BHK Residential Apartment in Sector-150 Noida,"₹ 1.15  - 1.21 Cr₹ 13,545/sq.ft.",849-890 sq.ft. (79-83 sq.m.) Carpet Area,2 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 1.7  - 2.31 Cr₹ 12,858/sq.ft.","1,322-1,794 sq.ft. (123-167 sq.m.) Carpet Area",3 BHK
3 BHK Residential Apartment in Sector-128 Noida,"₹ 2.68  - 5 Cr₹ 16,667/sq.ft.","1,608-3,000 sq.ft. (149-279 sq.m.) Carpet Area",3 BHK
4 BHK Residential Apartment in Sector-128 Noida,"₹ 2.68  - 7 Cr₹ 16,667/sq.ft.","1,608-4,200 sq.ft. (149-390 sq.m.) Carpet Area",4 BHK
5 BHK Residential Apartment in Sector-107 Noida,"₹ 3.51 Cr₹ 9,000/sq.ft.","3,904 sq.ft. (363 sq.m.) Carpet Area",5 BHK
4 BHK Residential Apartment in Sector-104 Noida,"₹ 3.05 Cr₹ 9,800/sq.ft.","3,115 sq.ft. (289 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Green Park,₹ 3.53 Cr,"1,440 sq.ft. (134 sq.m.) Carpet Area",3 BHK3 Baths
2 BHK Independent Builder Floor in Uttam Nagar,"₹ 22  - 32.6 Lac₹ 4,476/sq.ft.",500-650 sq.ft. (46-60 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Uttam Nagar,"₹ 34  - 52.57 Lac₹ 4,914/sq.ft.","700-1,000 sq.ft. (65-93 sq.m.) Super built-up Area",3 BHK
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3.36 Cr₹ 9,286/sq.ft.","3,618 sq.ft. (336 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Karol Bagh,"₹ 2.7  - 3.25 Cr₹ 17,201/sq.ft.","1,501-1,912 sq.ft. (139-178 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4 Cr₹ 8,849/sq.ft.","4,520 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Residential Apartment in Sector-78 Noida,"₹ 3.02  - 3.66 Cr₹ 8,000/sq.ft.","3,775-4,570 sq.ft. (351-425 sq.m.) Super built-up Area",5 BHK
2 BHK Residential Apartment in Sector-150 Noida,"₹ 70.53  - 71.18 Lac₹ 6,500/sq.ft.","1,085-1,095 sq.ft. (101-102 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 97.99 Lac - 1.13 Cr₹ 9,252/sq.ft.","1,059-1,216 sq.ft. (98-113 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3.5 Cr₹ 9,673/sq.ft.","3,618 sq.ft. (336 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-128 Noida,"₹ 5.43  - 6.07 Cr₹ 16,345/sq.ft.","3,325-3,715 sq.ft. (309-345 sq.m.) Super built-up Area",4 BHK
3 BHK Independent Builder Floor in Sector-51 Gurgaon,"₹ 1.27  - 1.62 Cr₹ 8,193/sq.ft.","1,553-1,976 sq.ft. (144-184 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-78 Noida,"₹ 1.88  - 2.78 Cr₹ 8,000/sq.ft.","2,350-3,475 sq.ft. (218-323 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-78 Noida,"₹ 1.88  - 2.78 Cr₹ 8,000/sq.ft.","2,350-3,475 sq.ft. (218-323 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-78 Noida,"₹ 2.56  - 4.8 Cr₹ 8,000/sq.ft.","3,200-6,000 sq.ft. (297-557 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 90.68 Lac - 1.6 Cr₹ 6,500/sq.ft.","1,395-2,460 sq.ft. (130-229 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-150 Noida,"₹ 73.39  - 75.45 Lac₹ 5,150/sq.ft.","1,425-1,465 sq.ft. (132-136 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-75 Noida,"₹ 77.83 Lac - 1 Cr₹ 5,731/sq.ft.","1,358-1,748 sq.ft. (126-162 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-85 Gurgaon,"₹ 1.59 Cr₹ 6,600/sq.ft.","2,408 sq.ft. (224 sq.m.) Super built-up Area",3 BHK4 Baths
2 BHK Residential Apartment in Sector-85 Gurgaon,"₹ 1.09  - 1.19 Cr₹ 6,693/sq.ft.","1,640-1,772 sq.ft. (152-165 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-85 Gurgaon,"₹ 1.86  - 2.57 Cr₹ 6,550/sq.ft.","2,812-3,950 sq.ft. (261-367 sq.m.) Super built-up Area",4 BHK
5 BHK Residential Apartment in Sector-85 Gurgaon,"₹ 3.22 Cr₹ 6,500/sq.ft.","4,950 sq.ft. (460 sq.m.) Super built-up Area",5 BHK7 Baths
4 Bedroom Independent House in Sector-109 Gurgaon,"₹ 3.5  - 3.85 Cr₹ 10,487/sq.ft.","3,147-3,854 sq.ft. (292-358 sq.m.) Built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 1.52  - 1.75 Cr₹ 5,150/sq.ft.","2,950-3,400 sq.ft. (274-316 sq.m.) Super built-up Area",4 BHK
4 BHK Residential Apartment in Sector-75 Noida,"₹ 1.37 Cr₹ 5,487/sq.ft.","2,497 sq.ft. (232 sq.m.) Super built-up Area",4 BHK5 Baths
2 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 45.16  - 45.69 Lac,"1,272-1,287 sq.ft. (118-120 sq.m.) Super built-up Area",2 BHK2 Baths
3 Bedroom Independent House in Sector-109 Gurgaon,"₹ 3.5 Cr₹ 11,100/sq.ft.","3,153 sq.ft. (293 sq.m.) Built-up Area",3 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 51.13  - 93.25 Lac₹ 5,700/sq.ft.","896-1,636 sq.ft. (83-152 sq.m.) Carpet Area",3 BHK
2 BHK Residential Apartment in Sector-150 Noida,"₹ 42.47  - 64.35 Lac₹ 5,700/sq.ft.","744-1,129 sq.ft. (69-105 sq.m.) Carpet Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 67.17  - 68.23 Lac,"1,892-1,922 sq.ft. (176-179 sq.m.) Super built-up Area",4 BHK3 Baths
3 BHK Residential Apartment in Sector-143 Noida,"₹ 41.76  - 59.1 Lac₹ 5,300/sq.ft.","787-1,115 sq.ft. (73-104 sq.m.) Carpet Area",3 BHK
2 BHK Residential Apartment in Sector-75 Noida,"₹ 53.35  - 64.79 Lac₹ 5,500/sq.ft.","970-1,178 sq.ft. (90-109 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-107 Noida,"₹ 1.88  - 2.31 Cr₹ 9,000/sq.ft.","2,085-2,570 sq.ft. (194-239 sq.m.) Carpet Area",4 BHK
2 BHK Independent Builder Floor in Sector-51 Gurgaon,"₹ 78 Lac₹ 8,193/sq.ft.",952 sq.ft. (88 sq.m.) Super built-up Area,2 BHK
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.4 Cr₹ 10,667/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-104 Noida,"₹ 1.72  - 2.11 Cr₹ 9,800/sq.ft.","1,759-2,150 sq.ft. (163-200 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 90.64 Lac - 1.39 Cr₹ 5,150/sq.ft.","1,760-2,700 sq.ft. (164-251 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-10 Greater Noida West,"₹ 40.32 Lac₹ 3,500/sq.ft.","1,152 sq.ft. (107 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-143B Noida,"₹ 91.2 Lac₹ 4,750/sq.ft.","1,920 sq.ft. (178 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-143B Noida,"₹ 91.2 Lac₹ 4,750/sq.ft.","1,920 sq.ft. (178 sq.m.) Super built-up Area",4 BHK5 Baths
2 BHK Residential Apartment in Sector-143B Noida,"₹ 39.9  - 54.63 Lac₹ 4,750/sq.ft.","840-1,150 sq.ft. (78-107 sq.m.) Super built-up Area",2 BHK
3 BHK Residential Apartment in Sector-152 Noida,"₹ 86.03 Lac - 1.09 Cr₹ 4,650/sq.ft.","1,850-2,350 sq.ft. (172-218 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-152 Noida,"₹ 86.03 Lac - 1.09 Cr₹ 4,650/sq.ft.","1,850-2,350 sq.ft. (172-218 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-152 Noida,"₹ 1.49 Cr₹ 4,650/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",4 BHK6 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 1.57 Cr₹ 4,900/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 1.57 Cr₹ 4,900/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in Green Park,₹ 4.54  - 7.56 Cr,"2,160-3,600 sq.ft. (201-334 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 1.95 Cr₹ 10,077/sq.ft.","1,935 sq.ft. (180 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greenfield,"₹ 81 Lac - 1.25 Cr₹ 3,025/sq.ft.","2,560-4,050 sq.ft. (238-376 sq.m.) Super built-up Area",4 BHK
4 BHK Independent Builder Floor in Safdarjung Enclave,₹ 4.86 Cr,"2,160 sq.ft. (201 sq.m.) Carpet Area",4 BHK2 Baths
3 BHK Independent Builder Floor in Safdarjung Enclave,₹ 3.89 Cr,"1,440 sq.ft. (134 sq.m.) Carpet Area",3 BHK2 Baths
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 1.85 Cr₹ 10,278/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Uttam Nagar West,"₹ 34  - 54.4 Lac₹ 4,533/sq.ft.","750-1,200 sq.ft. (70-111 sq.m.) Super built-up Area",3 BHK
2 BHK Independent Builder Floor in Uttam Nagar West,"₹ 22  - 32 Lac₹ 4,333/sq.ft.",500-750 sq.ft. (46-70 sq.m.) Super built-up Area,2 BHK
3 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 48.81  - 58.75 Lac,"1,375-1,655 sq.ft. (128-154 sq.m.) Super built-up Area",3 BHK
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.5 Cr₹ 11,067/sq.ft.","2,259 sq.ft. (210 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.5 Cr₹ 10,288/sq.ft.","2,430 sq.ft. (226 sq.m.) Super built-up Area",3 BHK4 Baths
4 BHK Residential Apartment in Sector-81 Gurgaon,"₹ 2.25  - 2.73 Cr₹ 9,000/sq.ft.","2,500-3,035 sq.ft. (232-282 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Sector-81 Gurgaon,"₹ 1.43  - 1.6 Cr₹ 7,483/sq.ft.","1,911-2,132 sq.ft. (178-198 sq.m.) Super built-up Area",3 BHK
3 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 2.4 Cr₹ 9,876/sq.ft.","2,430 sq.ft. (226 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in C R Park,₹ 3.57 Cr,"2,304 sq.ft. (214 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Anand Niketan,"₹ 7.5 Cr₹ 20,833/sq.ft.","3,600 sq.ft. (334 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 3.46  - 5.18 Cr₹ 24,000/sq.ft.","1,440-2,160 sq.ft. (134-201 sq.m.) Carpet Area",3 BHK3 Baths
1 BHK Residential Apartment in Sector-143B Noida,"₹ 28.02 Lac₹ 4,750/sq.ft.",590 sq.ft. (55 sq.m.) Super built-up Area,1 BHK1 Bath
3 BHK Residential Apartment in Sector-143B Noida,"₹ 59.61  - 70.3 Lac₹ 4,750/sq.ft.","1,255-1,480 sq.ft. (117-138 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-143B Noida,"₹ 59.61  - 70.3 Lac₹ 4,750/sq.ft.","1,255-1,480 sq.ft. (117-138 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-143 Noida,"₹ 98.56 Lac₹ 4,750/sq.ft.","2,075 sq.ft. (193 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-143 Noida,"₹ 64.13  - 80.75 Lac₹ 4,750/sq.ft.","1,350-1,700 sq.ft. (125-158 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-143 Noida,"₹ 45.13  - 62.46 Lac₹ 4,750/sq.ft.","950-1,315 sq.ft. (88-122 sq.m.) Super built-up Area",2 BHK
4 BHK Residential Apartment in Sector-152 Noida,"₹ 1.49 Cr₹ 4,650/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",4 BHK6 Baths
5 BHK Independent Builder Floor in Greenfield Colony,"₹ 1.03  - 2.01 Cr₹ 3,437/sq.ft.","3,000-5,850 sq.ft. (279-543 sq.m.) Super built-up Area",5 BHK5 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 79.63 Lac - 1.13 Cr₹ 4,900/sq.ft.","1,625-2,300 sq.ft. (151-214 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 79.63 Lac - 1.13 Cr₹ 4,900/sq.ft.","1,625-2,300 sq.ft. (151-214 sq.m.) Super built-up Area",3 BHK
3 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 2.5 Cr₹ 10,288/sq.ft.","2,430 sq.ft. (226 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in C R Park,₹ 2.26  - 3.01 Cr,"1,152-1,674 sq.ft. (107-156 sq.m.) Carpet Area",3 BHK3 Baths
1 BHK Residential Apartment in Sector-143 Noida,"₹ 28.31  - 30.88 Lac₹ 4,750/sq.ft.",596-650 sq.ft. (55-60 sq.m.) Super built-up Area,1 BHK1 Bath
3 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 2.4 Cr₹ 9,876/sq.ft.","2,430 sq.ft. (226 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-137 Noida,"₹ 1.49 Cr₹ 11,000/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",3 BHK2 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.75 Cr₹ 8,870/sq.ft.","3,100 sq.ft. (288 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3.25 Cr₹ 10,483/sq.ft.","3,100 sq.ft. (288 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4.2 Cr₹ 7,882/sq.ft.","5,100 sq.ft. (474 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-50 Noida,"₹ 3.35  - 4.98 Cr₹ 10,200/sq.ft.","3,284-4,881 sq.ft. (305-453 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Sector-50 Noida,"₹ 2.6 Cr₹ 10,200/sq.ft.","2,548 sq.ft. (237 sq.m.) Super built-up Area",3 BHK3 Baths
5 BHK Residential Apartment in Sector-50 Noida,"₹ 6.18 Cr₹ 10,200/sq.ft.","6,055 sq.ft. (563 sq.m.) Super built-up Area",5 BHK8 Baths
5 BHK Independent Builder Floor in Greenfield Colony,"₹ 90 Lac - 1.22 Cr₹ 3,000/sq.ft.","3,000-4,050 sq.ft. (279-376 sq.m.) Super built-up Area",5 BHK5 Baths
3 BHK Independent Builder Floor in Anand Niketan,"₹ 4.5  - 5.25 Cr₹ 24,166/sq.ft.","1,800-2,250 sq.ft. (167-209 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3.45 Cr₹ 8,291/sq.ft.","3,618 sq.ft. (336 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in Sushant Lok Phase - 1,"₹ 3 Cr₹ 8,291/sq.ft.","3,618 sq.ft. (336 sq.m.) Super built-up Area",4 BHK4 Baths
Residential land / Plot in Sector-135 Noida,₹ 48.99 Lac - 2.45 Cr₹ 540/sq.ft.,"9,072-45,360 sq.ft. (843-4214 sq.m.) Plot Area",
4 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 4.32  - 7.56 Cr₹ 22,500/sq.ft.","1,800-3,600 sq.ft. (167-334 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-16 Gr Noida,₹ 48.51  - 68.34 Lac,"1,260-1,775 sq.ft. (117-165 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-16 Gr Noida,₹ 48.51  - 68.34 Lac,"1,260-1,775 sq.ft. (117-165 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 61.56  - 75.15 Lac,"947-1,155 sq.ft. (88-107 sq.m.) Carpet Area",3 BHK
2 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 44.92  - 51.62 Lac,691-793 sq.ft. (64-74 sq.m.) Carpet Area,2 BHK
4 BHK Independent Builder Floor in Vasant Vihar,₹ 7.38  - 16.2 Cr,"3,600-9,000 sq.ft. (334-836 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 2.5 Cr₹ 10,288/sq.ft.","2,430 sq.ft. (226 sq.m.) Built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Palam Vihar,"₹ 2.4 Cr₹ 5,128/sq.ft.","4,680 sq.ft. (435 sq.m.) Super built-up Area",4 BHK4 Baths
2 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.07 Cr₹ 7,000/sq.ft.","1,527 sq.ft. (142 sq.m.) Super built-up Area",2 BHK
4 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.66 Cr₹ 7,494/sq.ft.","2,215 sq.ft. (206 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.19  - 1.38 Cr₹ 7,029/sq.ft.","1,693-1,967 sq.ft. (157-183 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 1.5  - 2.64 Cr₹ 6,369/sq.ft.","2,355-4,150 sq.ft. (219-386 sq.m.) Super built-up Area",4 BHK
2 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 88.64 Lac₹ 6,400/sq.ft.","1,385 sq.ft. (129 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector 78 Faridabad,"₹ 90 Lac₹ 3,730/sq.ft.","2,466 sq.ft. (229 sq.m.) Super built-up Area",4 BHK3 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3 Cr₹ 9,677/sq.ft.","3,100 sq.ft. (288 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Residential Apartment in Sector-78 Noida,"₹ 3.1  - 3.75 Cr₹ 8,200/sq.ft.","3,775-4,570 sq.ft. (351-425 sq.m.) Super built-up Area",5 BHK
4 BHK Residential Apartment in Sector-78 Noida,"₹ 2.62  - 4.92 Cr₹ 8,200/sq.ft.","3,200-6,000 sq.ft. (297-557 sq.m.) Super built-up Area",4 BHK
2 BHK Residential Apartment in Moti Nagar,"₹ 1.46  - 1.91 Cr₹ 13,012/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-107 Noida,"₹ 3.13 Cr₹ 9,500/sq.ft.","3,300 sq.ft. (307 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 5.01 Cr₹ 11,000/sq.ft.","4,500 sq.ft. (418 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 55  - 98.41 Lac₹ 3,454/sq.ft.","1,600-2,870 sq.ft. (149-267 sq.m.) Super built-up Area",4 BHK
