location,price,area,bedroom
3 BHK Residential Apartment in Sector-150 Noida,"₹ 65.29 Lac₹ 4,650/sq.ft.","1,404 sq.ft. (130 sq.m.) Super built-up Area",3 BHK2 Baths
5 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4.99 Cr₹ 8,400/sq.ft.","5,940 sq.ft. (552 sq.m.) Super built-up Area",5 BHK6 Baths
5 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4.99 Cr₹ 8,400/sq.ft.","5,940 sq.ft. (552 sq.m.) Super built-up Area",5 BHK6 Baths
5 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4.99 Cr₹ 8,400/sq.ft.","5,940 sq.ft. (552 sq.m.) Super built-up Area",5 BHK6 Baths
3 BHK Independent Builder Floor in Greater Kailash I,₹ 3.06 Cr,"1,494 sq.ft. (139 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-150 Noida,"₹ 1.21  - 1.59 Cr₹ 4,750/sq.ft.","2,555-3,355 sq.ft. (237-312 sq.m.) Super built-up Area",4 BHK8 Baths
3 BHK Residential Apartment in Sector-10 Greater Noida West,"₹ 52.63  - 61.75 Lac₹ 3,800/sq.ft.","1,385-1,625 sq.ft. (129-151 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 72.65 Lac₹ 3,659/sq.ft.","1,985 sq.ft. (184 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sector-92 Gurgaon,₹ 1.3  - 1.56 Cr,"2,250-2,700 sq.ft. (209-251 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sector-92 Gurgaon,₹ 1.03 Cr,"1,782 sq.ft. (166 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.65 Cr₹ 9,814/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Defence Colony,₹ 4.07  - 6.51 Cr,"1,566-2,340 sq.ft. (145-217 sq.m.) Carpet Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 41.72 Lac₹ 3,659/sq.ft.","1,140 sq.ft. (106 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in NH-24 Highway,"₹ 31.21  - 39.46 Lac₹ 2,750/sq.ft.","1,135-1,435 sq.ft. (105-133 sq.m.) Super built-up Area",2 BHK2 Baths
Residential land / Plot in Sector 88 Faridabad,Price on Request,"1,125 sq.ft. (105 sq.m.) Plot Area",
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4 Cr₹ 11,173/sq.ft.","3,580 sq.ft. (333 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4.31 Cr₹ 9,539/sq.ft.","4,518 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 80.75 Lac - 1.21 Cr₹ 4,750/sq.ft.","1,700-2,555 sq.ft. (158-237 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Siddhartha Vihar,₹ 90.96 Lac - 1 Cr,"1,120-1,259 sq.ft. (104-117 sq.m.) Carpet Area",3 BHK
2 BHK Residential Apartment in Yamuna Expressway,"₹ 33.35 Lac₹ 2,900/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Siddhartha Vihar,₹ 1.1  - 1.61 Cr,"1,390-1,801 sq.ft. (129-167 sq.m.) Carpet Area",4 BHK
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.6 Cr₹ 9,142/sq.ft.","2,844 sq.ft. (264 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4.75 Cr₹ 10,555/sq.ft.","4,500 sq.ft. (418 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 3.85 Cr₹ 8,521/sq.ft.","4,518 sq.ft. (420 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4.95 Cr₹ 10,956/sq.ft.","4,518 sq.ft. (420 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 3.75 Cr₹ 10,364/sq.ft.","3,618 sq.ft. (336 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3.4 Cr₹ 9,397/sq.ft.","3,618 sq.ft. (336 sq.m.) Carpet Area",4 BHK5 Baths
